书名,链接,信息,评分,评价人数,描述
那些回不去的年少时光,https://book.douban.com/subject/4231381/,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元,8.5,(31234人评价),所有你曾热爱却正在遗忘的人和事
,,,,,
书名,链接,信息,评分,评价人数,描述
,,,,,
金锁记,https://book.douban.com/subject/3017857/,张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.5,(31673人评价),曹七巧就像希克厉，一个扭曲的英雄
,,,,,
海贼王:ONEPIECE,https://book.douban.com/subject/1474773/,尾田荣一郎 / 董科 / 浙江人民美术出版社 / 2007-11 / 7.50元,9.5,(27491人评价),热血，梦想，希望
,,,,,
历史深处的忧虑:近距离看美国之一,https://book.douban.com/subject/1027191/,林达 / 生活·读书·新知三联书店 / 1997-5 / 19.00元,9,(29300人评价),窥见美国社会的一扇窗
,,,,,
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 / 北京联合出版公司 / 2018-1 / 45.00元,9.2,(28765人评价),以血书写的文学
,,,,,
城南旧事:纪念普及版,https://book.douban.com/subject/1254588/,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,8.9,(29166人评价),长亭外，古道边，芳草碧连天
,,,,,
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸 / 广州出版社 花城出版社 / 2008-3 / 108.00元,8.8,(29317人评价),武侠的解构，流氓的狂欢
,,,,,
大地之灯,https://book.douban.com/subject/1963310/,七堇年 / 长江文艺出版社 / 2007-1 / 22.00元,8.2,(31566人评价),两代人的成长与救赎
,,,,,
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,8.9,(28728人评价),现实主义与浪漫主义的至高杰作
,,,,,
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元,8.7,(29303人评价),完美主义者的最高形态
,,,,,
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,乔一 / 湖南少年儿童出版社 / 2015-5-1 / 29.80元,8,(30183人评价),一想到能和你共度余生，我就对余生充满期待
,,,,,
球状闪电,https://book.douban.com/subject/1192090/,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元,8.7,(29443人评价),量子之外，没有真相
,,,,,
菊与刀:日本文化的类型,https://book.douban.com/subject/1022238/,（美）鲁思?本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00,8.2,(31618人评价),复杂矛盾的日本民族
,,,,,
东霓,https://book.douban.com/subject/4874131/,笛安 / 长江文艺出版社 / 2010-7-1 / 26.80元,8.1,(31358人评价),自毁而偏执的东霓
,,,,,
长恨歌,https://book.douban.com/subject/1082349/,王安忆 / 南海出版公司 / 2003-8 / 22.00元,8.2,(31155人评价),现代上海史诗
,,,,,
你一定爱读的极简欧洲史:为什么欧洲对现代文明的影响这么深,https://book.douban.com/subject/5366248/,约翰·赫斯特（John Hirst） / 席玉苹 / 广西师范大学出版社 / 2011-11-25 / 25.00元,8.3,(30342人评价),欧洲，为什么老是抢第一？
,,,,,
看不见的城市,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元,8.8,(27828人评价),每一座城市都只在想象中耸立，又在描述中坍圮
,,,,,
香水:一个谋杀犯的故事,https://book.douban.com/subject/1292416/,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元,8.5,(28678人评价),恋味癖谋杀案
,,,,,
橙:陪安东尼度过漫长岁月Ⅱ,https://book.douban.com/subject/5327697/,安东尼 / 长江文艺出版社 / 2010-10 / 28.80元,8.2,(29130人评价),定做一个刻着“不过如此”的章，盖在封面上
,,,,,
一九八四·动物农场,https://book.douban.com/subject/1082387/,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,9.3,(25832人评价),一个预言和一个寓言，令人窒息的政治恐怖
,,,,,
